1.000000000000000000e+00 -9.818732650466667877e+00 -8.505092200466668473e+00
2.000000000000000000e+00 -7.167730910466667993e+00 -8.505092200466668473e+00
3.000000000000000000e+00 -7.167730210466668694e+00 -8.505092200466668473e+00
4.000000000000000000e+00 -7.167729910466668741e+00 -8.505092200466668473e+00
5.000000000000000000e+00 -6.843599730466667808e+00 -8.505092200466668473e+00
6.000000000000000000e+00 -6.843599690466668051e+00 -8.505092200466668473e+00
7.000000000000000000e+00 -6.843599680466669000e+00 -8.505092200466668473e+00
8.000000000000000000e+00 -4.772063380466668114e+00 -8.505092200466668473e+00
9.000000000000000000e+00 -4.772063180466668442e+00 -8.505092200466668473e+00
1.000000000000000000e+01 -4.772063160466668563e+00 -8.505092200466668473e+00
1.100000000000000000e+01 -3.251569350466668062e+00 -8.505092200466668473e+00
1.200000000000000000e+01 -3.251569280466668488e+00 -8.505092200466668473e+00
1.300000000000000000e+01 -2.073664340466669032e+00 -8.505092200466668473e+00
1.400000000000000000e+01 -2.073664120466668592e+00 -8.505092200466668473e+00
1.500000000000000000e+01 -2.073663470466668102e+00 -8.505092200466668473e+00
1.600000000000000000e+01 -1.681443120466669328e+00 -8.505092200466668473e+00
1.700000000000000000e+01 -1.681442600466668935e+00 -8.505092200466668473e+00
1.800000000000000000e+01 -1.681442100466668421e+00 -8.505092200466668473e+00
1.900000000000000000e+01 -1.681441930466668566e+00 -8.505092200466668473e+00
2.000000000000000000e+01 -1.681441390466668295e+00 -8.505092200466668473e+00
2.100000000000000000e+01 -1.681441130466668099e+00 -8.505092200466668473e+00
2.200000000000000000e+01 1.179453309533331051e+00 -8.505092200466668473e+00
2.300000000000000000e+01 1.179454219533331738e+00 -1.050509220046666847e+01
2.400000000000000000e+01 1.179454509533330864e+00 -1.050509220046666847e+01
2.500000000000000000e+01 5.969201169533333129e+00 -1.050509220046666847e+01
2.600000000000000000e+01 5.969201299533333227e+00 -1.050509220046666847e+01
2.700000000000000000e+01 5.969201469533333082e+00 -1.050509220046666847e+01
2.800000000000000000e+01 1.194225906953333016e+01 -1.050509220046666847e+01
2.900000000000000000e+01 1.194226095953333022e+01 -1.050509220046666847e+01
3.000000000000000000e+01 1.194227710953333066e+01 -1.050509220046666847e+01
3.100000000000000000e+01 1.194230112953333212e+01 -1.050509220046666847e+01
3.200000000000000000e+01 1.194230789953333094e+01 -1.050509220046666847e+01
3.300000000000000000e+01 1.194230827953333041e+01 -1.050509220046666847e+01
3.400000000000000000e+01 2.182154443953332645e+01 -1.050509220046666847e+01
3.500000000000000000e+01 2.182154451953333307e+01 -1.050509220046666847e+01
3.600000000000000000e+01 2.182154454953332845e+01 -1.050509220046666847e+01
3.700000000000000000e+01 2.456171176953333202e+01 -1.050509220046666847e+01
3.800000000000000000e+01 2.456171486953333272e+01 -1.050509220046666847e+01
3.900000000000000000e+01 2.456173750953333013e+01 -1.050509220046666847e+01
4.000000000000000000e+01 2.717354251953332778e+01 -1.050509220046666847e+01
4.100000000000000000e+01 2.717354306953333065e+01 -1.050509220046666847e+01
4.200000000000000000e+01 2.717354351953333236e+01 -1.050509220046666847e+01
4.300000000000000000e+01 4.635072035953332659e+01 -1.050509220046666847e+01
4.400000000000000000e+01 4.635075754953332705e+01 -1.050509220046666847e+01
4.500000000000000000e+01 4.635076138953333214e+01 -1.050509220046666847e+01
4.600000000000000000e+01 4.635077597953333139e+01 -1.050509220046666847e+01
4.700000000000000000e+01 4.635079774953332787e+01 -1.050509220046666847e+01
4.800000000000000000e+01 4.635081672953332799e+01 -1.050509220046666847e+01
4.900000000000000000e+01 4.740850384953333219e+01 -1.050509220046666847e+01
5.000000000000000000e+01 4.740850544953332957e+01 -1.050509220046666847e+01
5.100000000000000000e+01 4.740850548953333288e+01 -1.050509220046666847e+01
5.200000000000000000e+01 5.118657357953333076e+01 -1.050509220046666847e+01
5.300000000000000000e+01 5.118663713953333172e+01 -1.050509220046666847e+01
5.400000000000000000e+01 5.118664775953332935e+01 -1.050509220046666847e+01
5.500000000000000000e+01 5.367620762953333013e+01 -1.050509220046666847e+01
5.600000000000000000e+01 5.367622221953333650e+01 -1.050509220046666847e+01
5.700000000000000000e+01 5.367622331953332804e+01 -1.050509220046666847e+01
5.800000000000000000e+01 5.496031609953333685e+01 -1.050509220046666847e+01
5.900000000000000000e+01 5.496036041953332330e+01 -1.050509220046666847e+01
6.000000000000000000e+01 5.496047245953332805e+01 -1.050509220046666847e+01
6.100000000000000000e+01 6.827393013953333423e+01 -1.050509220046666847e+01
6.200000000000000000e+01 7.127620216953333454e+01 -1.050509220046666847e+01
6.300000000000000000e+01 7.127621360953334317e+01 -1.050509220046666847e+01
6.400000000000000000e+01 7.127623001953334381e+01 -1.050509220046666847e+01
6.500000000000000000e+01 7.127630598953334129e+01 -1.050509220046666847e+01
6.600000000000000000e+01 7.127636046953332993e+01 -1.050509220046666847e+01
6.700000000000000000e+01 7.127643024953333395e+01 -1.050509220046666847e+01
6.800000000000000000e+01 7.625849233953333339e+01 -1.050509220046666847e+01
6.900000000000000000e+01 7.625849316953333812e+01 -1.050509220046666847e+01
7.000000000000000000e+01 7.625849388953334085e+01 -1.050509220046666847e+01
7.100000000000000000e+01 9.319953210953333667e+01 -1.050509220046666847e+01
7.200000000000000000e+01 9.319953691953334385e+01 -1.050509220046666847e+01
7.300000000000000000e+01 9.319954059953333569e+01 -1.050509220046666847e+01
7.400000000000000000e+01 1.045893634995333343e+02 -1.050509220046666847e+01
7.500000000000000000e+01 1.045894192395333420e+02 -1.050509220046666847e+01
7.600000000000000000e+01 1.045896608395333374e+02 -1.050509220046666847e+01
7.700000000000000000e+01 1.170745947095333435e+02 -1.050509220046666847e+01
7.800000000000000000e+01 1.170746088295333323e+02 -1.050509220046666847e+01
7.900000000000000000e+01 1.170746246195333384e+02 -1.050509220046666847e+01
8.000000000000000000e+01 1.271021666395333227e+02 -1.050509220046666847e+01
